school,district_teaching_stations,cordogan_teaching_stations,classrooms_floor_plan,cap_total,cordogan_capacity,classrooms_x24,capacity_used,source_used
Chute (MS),,35,,792,792,,792,Cap Total (1A table)
Dawes,18,19,20,432,501,480,432,Cap Total
Dewey,24,24,24,576,537,576,537,Cordogan
Foster,,24,,576,600,576,576,Cap Total
Haven (MS),,47,,936,937,,936,Cap Total (1A table)
King Arts,,30,27,651,653,648,651,Cap Total
Kingsley,18,20,20,432,435,480,432,Cap Total
Lincoln,24,27,28,576,642,672,576,Cap Total
Lincolnwood,18,19,19,432,508,456,432,Cap Total
Nichols (MS),,41,,705,705,,705,Cap Total (1A table)
Oakton,24,26,25,576,467,600,467,Cordogan
Orrington,18,20,19,432,464,456,432,Cap Total
Walker,18,18,18,432,467,432,432,Cap Total
Washington,22,24,24,530,626,576,530,Cap Total
Willard,24,24,24,576,533,576,533,Cordogan
