school,grade,grade_label,students,cap,twi_students_est,twi_sections,twi_class_size,acc_students_est,acc_sections,acc_class_size,mainstream_students,mainstream_sections,mainstream_class_size,sections,avg_class_size,note
Chute (MS),6,6,184.0,24,0.0,0.0,,0.0,0.0,,184.0,8.0,23.0,8.0,23.0,
Chute (MS),7,7,209.0,24,0.0,0.0,,0.0,0.0,,209.0,9.0,23.2,9.0,23.2,
Chute (MS),8,8,198.0,24,0.0,0.0,,0.0,0.0,,198.0,9.0,22.0,9.0,22.0,
Dawes,0,K,43.0,24,19.0,1.0,19.0,0.0,0.0,,24.0,1.0,24.0,2.0,21.5,
Dawes,1,1,45.0,24,19.0,1.0,19.0,0.0,0.0,,26.0,2.0,13.0,3.0,15.0,
Dawes,2,2,42.0,24,19.0,1.0,19.0,0.0,0.0,,23.0,1.0,23.0,2.0,21.0,
Dawes,3,3,48.0,24,19.0,1.0,19.0,0.0,0.0,,29.0,2.0,14.5,3.0,16.0,
Dawes,4,4,59.0,24,19.0,1.0,19.0,0.0,0.0,,40.0,2.0,20.0,3.0,19.7,
Dawes,5,5,51.0,24,19.0,1.0,19.0,0.0,0.0,,32.0,2.0,16.0,3.0,17.0,
Dewey,0,K,48.0,24,17.0,1.0,17.0,0.0,0.0,,31.0,2.0,15.5,3.0,16.0,
Dewey,1,1,55.0,24,17.0,1.0,17.0,0.0,0.0,,38.0,2.0,19.0,3.0,18.3,
Dewey,2,2,45.0,24,17.0,1.0,17.0,0.0,0.0,,28.0,2.0,14.0,3.0,15.0,
Dewey,3,3,52.0,24,17.0,1.0,17.0,0.0,0.0,,35.0,2.0,17.5,3.0,17.3,
Dewey,4,4,64.0,24,17.0,1.0,17.0,0.0,0.0,,47.0,2.0,23.5,3.0,21.3,
Dewey,5,5,51.0,24,17.0,1.0,17.0,0.0,0.0,,34.0,2.0,17.0,3.0,17.0,
Foster,0,K,46.0,24,33.3,2.0,16.7,0.0,0.0,,12.7,1.0,12.7,3.0,15.3,
Foster,1,1,42.0,24,33.3,2.0,16.7,0.0,0.0,,8.7,1.0,8.7,3.0,14.0,
Foster,2,2,65.0,24,33.3,2.0,16.7,0.0,0.0,,31.7,2.0,15.8,4.0,16.2,
Foster,3,3,79.0,24,33.3,2.0,16.7,0.0,0.0,,45.7,2.0,22.8,4.0,19.8,
Foster,4,4,57.0,24,33.3,2.0,16.7,0.0,0.0,,23.7,1.0,23.7,3.0,19.0,
Foster,5,5,72.0,24,33.3,2.0,16.7,0.0,0.0,,38.7,2.0,19.3,4.0,18.0,
Haven (MS),6,6,181.0,24,0.0,0.0,,0.0,0.0,,181.0,8.0,22.6,8.0,22.6,
Haven (MS),7,7,211.0,24,0.0,0.0,,0.0,0.0,,211.0,9.0,23.4,9.0,23.4,
Haven (MS),8,8,212.0,24,0.0,0.0,,0.0,0.0,,212.0,9.0,23.6,9.0,23.6,
King Arts,0,K,41.0,24,0.0,0.0,,0.0,0.0,,41.0,2.0,20.5,2.0,20.5,
King Arts,1,1,40.0,24,0.0,0.0,,0.0,0.0,,40.0,2.0,20.0,2.0,20.0,
King Arts,2,2,37.0,24,0.0,0.0,,0.0,0.0,,37.0,2.0,18.5,2.0,18.5,
King Arts,3,3,56.0,24,0.0,0.0,,0.0,0.0,,56.0,3.0,18.7,3.0,18.7,
King Arts,4,4,54.0,24,0.0,0.0,,0.0,0.0,,54.0,3.0,18.0,3.0,18.0,
King Arts,5,5,46.0,24,0.0,0.0,,0.0,0.0,,46.0,2.0,23.0,2.0,23.0,
King Arts,6,6,43.0,24,0.0,0.0,,0.0,0.0,,43.0,2.0,21.5,2.0,21.5,
King Arts,7,7,67.0,24,0.0,0.0,,0.0,0.0,,67.0,3.0,22.3,3.0,22.3,
King Arts,8,8,61.0,24,0.0,0.0,,0.0,0.0,,61.0,3.0,20.3,3.0,20.3,
Lincoln,0,K,57.0,24,0.0,0.0,,0.0,0.0,,57.0,3.0,19.0,3.0,19.0,
Lincoln,1,1,73.0,24,0.0,0.0,,0.0,0.0,,73.0,4.0,18.2,4.0,18.2,
Lincoln,2,2,53.0,24,0.0,0.0,,0.0,0.0,,53.0,3.0,17.7,3.0,17.7,
Lincoln,3,3,43.0,24,0.0,0.0,,0.0,0.0,,43.0,2.0,21.5,2.0,21.5,
Lincoln,4,4,68.0,24,0.0,0.0,,0.0,0.0,,68.0,3.0,22.7,3.0,22.7,
Lincoln,5,5,56.0,24,0.0,0.0,,0.0,0.0,,56.0,3.0,18.7,3.0,18.7,
Lincolnwood,0,K,48.0,24,0.0,0.0,,0.0,0.0,,48.0,2.0,24.0,2.0,24.0,
Lincolnwood,1,1,60.0,24,0.0,0.0,,0.0,0.0,,60.0,3.0,20.0,3.0,20.0,
Lincolnwood,2,2,54.0,24,0.0,0.0,,0.0,0.0,,54.0,3.0,18.0,3.0,18.0,
Lincolnwood,3,3,42.0,24,0.0,0.0,,0.0,0.0,,42.0,2.0,21.0,2.0,21.0,
Lincolnwood,4,4,48.0,24,0.0,0.0,,0.0,0.0,,48.0,2.0,24.0,2.0,24.0,
Lincolnwood,5,5,79.0,24,0.0,0.0,,0.0,0.0,,79.0,4.0,19.8,4.0,19.8,
Nichols (MS),6,6,195.0,24,0.0,0.0,,0.0,0.0,,195.0,9.0,21.7,9.0,21.7,
Nichols (MS),7,7,172.0,24,0.0,0.0,,0.0,0.0,,172.0,8.0,21.5,8.0,21.5,
