school,pdf_page,core_classroom_sf,core_stations,core_seats,science_lab_sf,science_lab_stations,science_lab_seats,sped_sf,sped_stations,sped_seats,total_sf_core_sped,teaching_stations,capacity,sf_per_student,enrollment_2021_22,utilization_2021_22_pct,capacity_goal_pct
Dawes Elementary School,7,18633.0,18.0,493.0,,,,765.0,1.0,8.0,19398,19,501,39,321,64.07,85
Dewey Elementary School,13,20248.0,24.0,537.0,,,,0.0,0.0,0.0,20248,24,537,38,393,73.21,85
Kingsley Elementary School,19,16155.0,19.0,427.0,,,,760.0,1.0,8.0,16915,20,435,39,346,79.53,85
Lincoln Elementary School,25,23277.0,24.0,620.0,,,,2225.0,3.0,22.0,25502,27,642,40,413,64.29,85
Lincolnwood Elementary School,31,18531.0,18.0,499.0,,,,879.0,1.0,9.0,19410,19,508,38,330,64.99,85
Oakton Elementary School,37,17040.0,24.0,454.0,,,,1320.0,2.0,13.0,18360,26,467,39,375,80.25,85
Orrington Elementary School,43,16829.0,18.0,452.0,,,,1232.0,2.0,12.0,18061,20,464,39,277,59.65,85
Walker Elementary School,49,17312.0,18.0,467.0,,,,0.0,0.0,0.0,17312,18,467,37,376,80.51,85
Washington Elementary School,55,23872.0,24.0,626.0,,,,0.0,0.0,0.0,23872,24,626,38,482,77.03,85
Willard Elementary School,61,20098.0,24.0,533.0,,,,0.0,0.0,0.0,20098,24,533,38,412,77.31,85
Chute Middle School,67,19835.0,24.0,551.0,4301.0,4.0,78.0,5850.0,7.0,163.0,29986,35,792,38,575,72.63,80
Haven Middle School,73,27101.0,37.0,753.0,7080.0,6.0,129.0,1985.0,4.0,55.0,36166,47,937,39,783,83.59,80
Nichols Middle School,79,19641.0,30.0,546.0,4886.0,6.0,89.0,2897.0,5.0,71.0,27424,41,705,39,686,97.27,80
Park School,85,,,,,,,,,,10943,12,109,100,66,60.31,75
Dr. Bessie Rhodes School of Global Studies,88,18757.0,18.0,503.0,,,,0.0,0.0,0.0,18757,18,503,37,282,56.09,75
Dr Martin Luther King Jr Literary & Fine Arts School,94,23301.0,27.0,632.0,,,,2101.0,3.0,21.0,25402,30,653,39,443,67.86,75
Joseph E. Hill Education Center,100,14260.0,19.0,464.0,,,,,,,14260,19,464,48,357,77.01,90
