dataset,scope,page,test_type,chart_id,chart_title,series,category,value
students,District,home,,home-iep,IEP Status,,Has IEP,953.0
students,District,home,,home-iep,IEP Status,,No IEP,4509.0
students,District,home,,home-lep,EL Status,,EL,775.0
students,District,home,,home-lep,EL Status,,Not EL,4687.0
students,District,home,,home-race,Race/Ethnicity,,Asian,240.0
students,District,home,,home-race,Race/Ethnicity,,Black or African American,1238.0
students,District,home,,home-race,Race/Ethnicity,,Hispanic or Latino,1143.0
students,District,home,,home-race,Race/Ethnicity,,Middle Eastern or North African,18.0
students,District,home,,home-race,Race/Ethnicity,,Multi-racial,596.0
students,District,home,,home-race,Race/Ethnicity,,White,2220.0
students,District,home,,home-race,Race/Ethnicity,,Other*,6.0
students,District,home,,home-incidents,Incidents - SY27,,LVL1,507.0
students,District,home,,home-incidents,Incidents - SY27,,LVL2,261.0
students,District,home,,home-incidents,Incidents - SY27,,LVL3,197.0
students,District,home,,home-incidents,Incidents - SY27,,LVL4,3.0
students,District,home,,home-grade,Grade Level,,0,534.0
students,District,home,,home-grade,Grade Level,,1,564.0
students,District,home,,home-grade,Grade Level,,2,545.0
students,District,home,,home-grade,Grade Level,,3,606.0
students,District,home,,home-grade,Grade Level,,4,620.0
students,District,home,,home-grade,Grade Level,,5,645.0
students,District,home,,home-grade,Grade Level,,6,603.0
students,District,home,,home-grade,Grade Level,,7,659.0
students,District,home,,home-grade,Grade Level,,8,686.0
students,District,home,,home-twi,TWI Status,,TWE,290.0
students,District,home,,home-twi,TWI Status,,TWS,239.0
students,District,home,,home-twi,TWI Status,,TWX,157.0
students,District,home,,home-ada,ADA,,value,95.02
students,District,home,,home-enrollment,Enrollment,,value,5462.0
students,District,attendance,,students-count-att,summary counts,,Students,5462.0
students,District,attendance,,students-count-att,summary counts,,IEP,953.0
students,District,attendance,,students-count-att,summary counts,,EL,775.0
students,District,attendance,,att-ada,ADA,,value,95.02
students,District,attendance,,att-cron-abs,Chronic Absenteeism (%),,value,19.28
students,District,discipline,,students-count-discipline,summary counts,,Incidents,968.0
students,District,discipline,,students-count-discipline,summary counts,,Students,416.0
students,District,discipline,,students-count-discipline,summary counts,,Minor Incidents,768.0
students,District,discipline,,students-count-discipline,summary counts,,Major Incidents,200.0
students,District,discipline,,school,Incidents by School,,Chute Middle School,211.0
students,District,discipline,,school,Incidents by School,,Dawes Elementary School,62.0
students,District,discipline,,school,Incidents by School,,Dewey Elementary School,20.0
students,District,discipline,,school,Incidents by School,,Dr Martin Luther King Jr Literary & Fine Arts School,89.0
students,District,discipline,,school,Incidents by School,,Foster School,26.0
students,District,discipline,,school,Incidents by School,,Haven Middle School,156.0
students,District,discipline,,school,Incidents by School,,Lincoln Elementary School,165.0
students,District,discipline,,school,Incidents by School,,Lincolnwood Elementary School,5.0
students,District,discipline,,school,Incidents by School,,Nichols Middle School,47.0
students,District,discipline,,school,Incidents by School,,Oakton Elementary School,46.0
students,District,discipline,,school,Incidents by School,,Orrington Elementary School,8.0
students,District,discipline,,school,Incidents by School,,Walker Elementary School,17.0
students,District,discipline,,school,Incidents by School,,Washington Elementary School,47.0
students,District,discipline,,school,Incidents by School,,Willard Elementary School,69.0
students,District,discipline,,lvl,Incident Types,,LVL1,507.0
students,District,discipline,,lvl,Incident Types,,LVL2,261.0
students,District,discipline,,lvl,Incident Types,,LVL3,197.0
students,District,discipline,,lvl,Incident Types,,LVL4,3.0
students,District,discipline,,months,Incidents by Month,,August,148.0
students,District,discipline,,months,Incidents by Month,,September,820.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,American Indian or Alaska Native,6.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,Asian,20.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,Black or African American,462.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,Hispanic or Latino,165.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,Middle Eastern or North African,1.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,Multi-racial,88.0
students,District,discipline,,race,Incidents by Race/Ethnicity,,White,226.0
students,District,discipline,,grade,Incidents by Grade,,0,192.0
students,District,discipline,,grade,Incidents by Grade,,1,123.0
students,District,discipline,,grade,Incidents by Grade,,2,54.0
students,District,discipline,,grade,Incidents by Grade,,3,47.0
students,District,discipline,,grade,Incidents by Grade,,4,41.0
students,District,discipline,,grade,Incidents by Grade,,5,51.0
students,District,discipline,,grade,Incidents by Grade,,6,153.0
students,District,discipline,,grade,Incidents by Grade,,7,141.0
students,District,discipline,,grade,Incidents by Grade,,8,166.0
students,District,assessments,STAR Reading,students-count-ast,summary counts,,Students,3713.0
students,District,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,268.0
students,District,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,338.0
students,District,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,1111.0
students,District,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,1666.0
students,District,assessments,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,330.0
students,District,assessments,STAR Early Literacy,students-count-ast,summary counts,,Students,1584.0
students,District,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,102.0
students,District,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,154.0
students,District,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,560.0
students,District,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,671.0
students,District,assessments,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,97.0
