school,grade_0,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,total
Chute Middle School,0,0,0,0,0,0,184,209,198,591
Dawes Elementary School,43,45,42,48,59,51,0,0,0,288
Dewey Elementary School,48,55,45,52,64,51,0,0,0,315
Dr Martin Luther King Jr Literary & Fine Arts School,41,40,37,56,54,46,43,67,61,445
Foster School,46,42,65,79,57,72,0,0,0,361
Haven Middle School,0,0,0,0,0,0,181,211,212,604
Lincoln Elementary School,57,73,53,43,68,56,0,0,0,350
Lincolnwood Elementary School,48,60,54,42,48,79,0,0,0,331
Nichols Middle School,0,0,0,0,0,0,195,172,215,582
Oakton Elementary School,68,55,58,54,69,63,0,0,0,367
Orrington Elementary School,40,35,42,52,27,55,0,0,0,251
Walker Elementary School,45,57,42,63,66,44,0,0,0,317
Washington Elementary School,58,59,63,64,62,81,0,0,0,387
Willard Elementary School,40,43,44,53,46,47,0,0,0,273
