school,enroll_sy25,enroll_total,cap_total,dashboard_sy27,diff_vs_enroll_total,pct_diff,util_pct_dashboard
Foster School,0,452,576,361.0,-91.0,-20.1,63.0
Dewey Elementary School,316,372,576,315.0,-57.0,-15.3,55.0
Dawes Elementary School,294,337,432,288.0,-49.0,-14.5,67.0
Washington Elementary School,403,441,530,387.0,-54.0,-12.2,73.0
Nichols Middle School,609,656,705,582.0,-74.0,-11.3,83.0
Haven Middle School,642,664,936,604.0,-60.0,-9.0,65.0
Oakton Elementary School,361,403,576,367.0,-36.0,-8.9,64.0
Walker Elementary School,345,304,432,317.0,13.0,4.3,73.0
Willard Elementary School,345,261,576,273.0,12.0,4.6,47.0
Lincoln Elementary School,334,328,576,350.0,22.0,6.7,61.0
Dr Martin Luther King Jr Literary & Fine Arts School,415,415,651,445.0,30.0,7.2,68.0
Chute Middle School,567,551,792,591.0,40.0,7.3,75.0
Orrington Elementary School,218,226,432,251.0,25.0,11.1,58.0
Lincolnwood Elementary School,283,280,432,331.0,51.0,18.2,77.0
