school,enrollment,ada_pct,chronic_absenteeism_pct,iep_students,el_students,incidents,students_with_incidents,minor_incidents,major_incidents,iep_pct,el_pct,incidents_per_100_students
District,5462.0,95.02,19.28,953.0,775.0,968.0,416.0,768.0,200.0,17.4,14.2,17.7
Chute Middle School,591.0,93.99,21.15,94.0,84.0,211.0,95.0,185.0,26.0,15.9,14.2,35.7
Dawes Elementary School,288.0,95.53,15.28,54.0,65.0,62.0,25.0,38.0,24.0,18.8,22.6,21.5
Dewey Elementary School,315.0,95.6,16.51,50.0,43.0,20.0,8.0,8.0,12.0,15.9,13.7,6.3
Dr Martin Luther King Jr Literary & Fine Arts School,445.0,93.69,22.25,123.0,48.0,89.0,49.0,77.0,12.0,27.6,10.8,20.0
Foster School,361.0,92.95,26.87,73.0,106.0,26.0,19.0,14.0,12.0,20.2,29.4,7.2
Haven Middle School,604.0,95.14,20.7,107.0,56.0,156.0,73.0,143.0,13.0,17.7,9.3,25.8
Lincoln Elementary School,350.0,93.99,21.71,73.0,58.0,165.0,35.0,109.0,56.0,20.9,16.6,47.1
Lincolnwood Elementary School,331.0,97.33,12.39,62.0,12.0,5.0,4.0,0.0,5.0,18.7,3.6,1.5
Nichols Middle School,582.0,93.32,21.65,74.0,69.0,47.0,30.0,34.0,13.0,12.7,11.9,8.1
Oakton Elementary School,367.0,95.35,24.8,48.0,63.0,46.0,25.0,39.0,7.0,13.1,17.2,12.5
Orrington Elementary School,251.0,96.87,12.75,30.0,24.0,8.0,7.0,7.0,1.0,12.0,9.6,3.2
Walker Elementary School,317.0,97.32,12.3,55.0,41.0,17.0,12.0,13.0,4.0,17.4,12.9,5.4
Washington Elementary School,387.0,95.72,18.09,80.0,94.0,47.0,22.0,45.0,2.0,20.7,24.3,12.1
Willard Elementary School,273.0,96.95,13.19,30.0,12.0,69.0,12.0,56.0,13.0,11.0,4.4,25.3
