school,test_type,chart_id,chart_title,series,category,value
District,STAR Reading,students-count-ast,summary counts,,Students,3713.0
District,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,268.0
District,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,338.0
District,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,1111.0
District,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,1666.0
District,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,330.0
District,STAR Early Literacy,students-count-ast,summary counts,,Students,1584.0
District,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,102.0
District,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Intervention,Intervention,154.0
District,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,560.0
District,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),At Benchmark,At Benchmark,671.0
District,STAR Early Literacy,ast-graph-1,STAR Early Literacy Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,97.0
District,STAR Reading Spanish,students-count-ast,summary counts,,Students,563.0
District,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,99.0
District,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Intervention,Intervention,139.0
District,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,211.0
District,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,98.0
District,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,16.0
District,STAR Early Literacy Spanish,students-count-ast,summary counts,,Students,334.0
District,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,17.0
District,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Intervention,Intervention,31.0
District,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,104.0
District,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,158.0
District,STAR Early Literacy Spanish,ast-graph-1,STAR Early Literacy Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,24.0
District,i-Ready Math,students-count-ast,summary counts,,Students,5208.0
District,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,3 or More Grade Levels Below,3 or More Grade Levels Below,505.0
District,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,2 Grade Levels Below,2 Grade Levels Below,570.0
District,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,1 Grade Level Below,1 Grade Level Below,2286.0
District,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Early On Grade Level,Early On Grade Level,992.0
District,i-Ready Math,ast-graph-1,i-Ready Math — Overall Relative Placement,Mid or Above Grade Level,Mid or Above Grade Level,855.0
Chute Middle School,STAR Reading,students-count-ast,summary counts,,Students,582.0
Chute Middle School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,44.0
Chute Middle School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Intervention,Intervention,46.0
Chute Middle School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,210.0
Chute Middle School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),At Benchmark,At Benchmark,247.0
Chute Middle School,STAR Reading,ast-graph-1,STAR Reading Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,35.0
Chute Middle School,STAR Reading Spanish,students-count-ast,summary counts,,Students,86.0
Chute Middle School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Urgent Intervention,Urgent Intervention,16.0
Chute Middle School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Intervention,Intervention,19.0
Chute Middle School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Approaching Benchmark,Approaching Benchmark,31.0
Chute Middle School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),At Benchmark,At Benchmark,18.0
Chute Middle School,STAR Reading Spanish,ast-graph-1,STAR Reading Spanish Benchmark Category (Fall SY27),Above Benchmark,Above Benchmark,2.0
Chute Middle School,i-Ready Math,students-count-ast,summary counts,,Students,579.0
