school,chart_id,chart_title,series,category,value
District,students-count-discipline,summary counts,,Incidents,968.0
District,students-count-discipline,summary counts,,Students,416.0
District,students-count-discipline,summary counts,,Minor Incidents,768.0
District,students-count-discipline,summary counts,,Major Incidents,200.0
District,school,Incidents by School,,Chute Middle School,211.0
District,school,Incidents by School,,Dawes Elementary School,62.0
District,school,Incidents by School,,Dewey Elementary School,20.0
District,school,Incidents by School,,Dr Martin Luther King Jr Literary & Fine Arts School,89.0
District,school,Incidents by School,,Foster School,26.0
District,school,Incidents by School,,Haven Middle School,156.0
District,school,Incidents by School,,Lincoln Elementary School,165.0
District,school,Incidents by School,,Lincolnwood Elementary School,5.0
District,school,Incidents by School,,Nichols Middle School,47.0
District,school,Incidents by School,,Oakton Elementary School,46.0
District,school,Incidents by School,,Orrington Elementary School,8.0
District,school,Incidents by School,,Walker Elementary School,17.0
District,school,Incidents by School,,Washington Elementary School,47.0
District,school,Incidents by School,,Willard Elementary School,69.0
District,lvl,Incident Types,,LVL1,507.0
District,lvl,Incident Types,,LVL2,261.0
District,lvl,Incident Types,,LVL3,197.0
District,lvl,Incident Types,,LVL4,3.0
District,months,Incidents by Month,,August,148.0
District,months,Incidents by Month,,September,820.0
District,race,Incidents by Race/Ethnicity,,American Indian or Alaska Native,6.0
District,race,Incidents by Race/Ethnicity,,Asian,20.0
District,race,Incidents by Race/Ethnicity,,Black or African American,462.0
District,race,Incidents by Race/Ethnicity,,Hispanic or Latino,165.0
District,race,Incidents by Race/Ethnicity,,Middle Eastern or North African,1.0
District,race,Incidents by Race/Ethnicity,,Multi-racial,88.0
District,race,Incidents by Race/Ethnicity,,White,226.0
District,grade,Incidents by Grade,,0,192.0
District,grade,Incidents by Grade,,1,123.0
District,grade,Incidents by Grade,,2,54.0
District,grade,Incidents by Grade,,3,47.0
District,grade,Incidents by Grade,,4,41.0
District,grade,Incidents by Grade,,5,51.0
District,grade,Incidents by Grade,,6,153.0
District,grade,Incidents by Grade,,7,141.0
District,grade,Incidents by Grade,,8,166.0
Chute Middle School,students-count-discipline,summary counts,,Incidents,211.0
Chute Middle School,students-count-discipline,summary counts,,Students,95.0
Chute Middle School,students-count-discipline,summary counts,,Minor Incidents,185.0
Chute Middle School,students-count-discipline,summary counts,,Major Incidents,26.0
Chute Middle School,school,Incidents by School,,Chute Middle School,211.0
Chute Middle School,lvl,Incident Types,,LVL1,134.0
Chute Middle School,lvl,Incident Types,,LVL2,51.0
Chute Middle School,lvl,Incident Types,,LVL3,26.0
Chute Middle School,months,Incidents by Month,,August,40.0
Chute Middle School,months,Incidents by Month,,September,171.0
Chute Middle School,race,Incidents by Race/Ethnicity,,American Indian or Alaska Native,2.0
Chute Middle School,race,Incidents by Race/Ethnicity,,Asian,6.0
Chute Middle School,race,Incidents by Race/Ethnicity,,Black or African American,128.0
Chute Middle School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,51.0
Chute Middle School,race,Incidents by Race/Ethnicity,,Middle Eastern or North African,1.0
Chute Middle School,race,Incidents by Race/Ethnicity,,White,23.0
Chute Middle School,grade,Incidents by Grade,,6,58.0
Chute Middle School,grade,Incidents by Grade,,7,50.0
Chute Middle School,grade,Incidents by Grade,,8,103.0
Dawes Elementary School,students-count-discipline,summary counts,,Incidents,62.0
Dawes Elementary School,students-count-discipline,summary counts,,Students,25.0
Dawes Elementary School,students-count-discipline,summary counts,,Minor Incidents,38.0
Dawes Elementary School,students-count-discipline,summary counts,,Major Incidents,24.0
Dawes Elementary School,school,Incidents by School,,Dawes Elementary School,62.0
Dawes Elementary School,lvl,Incident Types,,LVL1,30.0
Dawes Elementary School,lvl,Incident Types,,LVL2,8.0
Dawes Elementary School,lvl,Incident Types,,LVL3,24.0
Dawes Elementary School,months,Incidents by Month,,August,2.0
Dawes Elementary School,months,Incidents by Month,,September,60.0
Dawes Elementary School,race,Incidents by Race/Ethnicity,,Asian,1.0
Dawes Elementary School,race,Incidents by Race/Ethnicity,,Black or African American,42.0
Dawes Elementary School,race,Incidents by Race/Ethnicity,,Hispanic or Latino,4.0
Dawes Elementary School,race,Incidents by Race/Ethnicity,,Multi-racial,4.0
Dawes Elementary School,race,Incidents by Race/Ethnicity,,White,11.0
Dawes Elementary School,grade,Incidents by Grade,,0,34.0
Dawes Elementary School,grade,Incidents by Grade,,1,2.0
Dawes Elementary School,grade,Incidents by Grade,,2,3.0
Dawes Elementary School,grade,Incidents by Grade,,3,10.0
Dawes Elementary School,grade,Incidents by Grade,,4,12.0
Dawes Elementary School,grade,Incidents by Grade,,5,1.0
