account,chart_id,chart_title,series,category,value
All,global-use,Annual Utility Usage,Electric,2018,26150.0
All,global-use,Annual Utility Usage,Electric,2019,25962.0
All,global-use,Annual Utility Usage,Electric,2020,19321.0
All,global-use,Annual Utility Usage,Electric,2021,24533.0
All,global-use,Annual Utility Usage,Electric,2022,25229.0
All,global-use,Annual Utility Usage,Electric,2023,21052.0
All,global-use,Annual Utility Usage,Electric,2024,20180.0
All,global-use,Annual Utility Usage,Electric,2025,19913.0
All,global-use,Annual Utility Usage,Electric,2026,11934.0
All,global-use,Annual Utility Usage,Natural Gas,2018,62577.0
All,global-use,Annual Utility Usage,Natural Gas,2019,64615.0
All,global-use,Annual Utility Usage,Natural Gas,2020,53242.0
All,global-use,Annual Utility Usage,Natural Gas,2021,57494.0
All,global-use,Annual Utility Usage,Natural Gas,2022,66635.0
All,global-use,Annual Utility Usage,Natural Gas,2023,53459.0
All,global-use,Annual Utility Usage,Natural Gas,2024,51332.0
All,global-use,Annual Utility Usage,Natural Gas,2025,60899.0
All,global-use,Annual Utility Usage,Natural Gas,2026,36096.0
All,ghg,Annual Carbon Emissions,Scope 1,2018,3098.0
All,ghg,Annual Carbon Emissions,Scope 1,2019,3477.0
All,ghg,Annual Carbon Emissions,Scope 1,2020,2874.0
All,ghg,Annual Carbon Emissions,Scope 1,2021,3120.0
All,ghg,Annual Carbon Emissions,Scope 1,2022,3618.0
All,ghg,Annual Carbon Emissions,Scope 1,2023,2912.0
All,ghg,Annual Carbon Emissions,Scope 1,2024,2779.0
All,ghg,Annual Carbon Emissions,Scope 1,2025,3288.0
All,ghg,Annual Carbon Emissions,Scope 1,2026,1945.0
All,ghg,Annual Carbon Emissions,Scope 2,2018,3911.0
All,ghg,Annual Carbon Emissions,Scope 2,2019,3694.0
All,ghg,Annual Carbon Emissions,Scope 2,2020,2559.0
All,ghg,Annual Carbon Emissions,Scope 2,2021,3411.0
All,ghg,Annual Carbon Emissions,Scope 2,2022,3365.0
All,ghg,Annual Carbon Emissions,Scope 2,2023,2565.0
All,ghg,Annual Carbon Emissions,Scope 2,2024,2457.0
All,ghg,Annual Carbon Emissions,Scope 2,2025,2424.0
All,ghg,Annual Carbon Emissions,Scope 2,2026,1454.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Chute,56.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Dawes,57.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Dewey,55.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Haven,37.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,JEH,116.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,King Arts,58.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Kingsley,51.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Lincoln,50.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Lincolnwood,47.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Nichols,43.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Oakton,39.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Orrington,48.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Park,51.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Rhodes,50.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Walker,56.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Warehouse,85.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Washington,69.0
All,global-use-school,Building Energy Use Intensity (EUI),2024,Willard,57.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Chute,62.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Dawes,64.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Dewey,62.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Haven,45.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,JEH,116.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,King Arts,70.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Kingsley,61.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Lincoln,55.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Lincolnwood,53.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Nichols,48.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Oakton,46.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Orrington,55.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Park,60.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Rhodes,56.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Walker,63.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Warehouse,100.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Washington,78.0
All,global-use-school,Building Energy Use Intensity (EUI),2025,Willard,60.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Chute,37.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Dawes,37.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Dewey,40.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Haven,25.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,JEH,63.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,King Arts,44.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Kingsley,37.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Lincoln,32.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Lincolnwood,32.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Nichols,27.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Oakton,27.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Orrington,34.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Park,35.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Rhodes,32.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Walker,38.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Warehouse,56.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Washington,50.0
All,global-use-school,Building Energy Use Intensity (EUI),2026,Willard,37.0
All,ghg-school,Building Carbon Emissions,2024,Chute,440.0
All,ghg-school,Building Carbon Emissions,2024,Dawes,228.0
All,ghg-school,Building Carbon Emissions,2024,Dewey,257.0
All,ghg-school,Building Carbon Emissions,2024,Haven,379.0
All,ghg-school,Building Carbon Emissions,2024,JEH,640.0
All,ghg-school,Building Carbon Emissions,2024,King Arts,421.0
All,ghg-school,Building Carbon Emissions,2024,Kingsley,212.0
All,ghg-school,Building Carbon Emissions,2024,Lincoln,268.0
All,ghg-school,Building Carbon Emissions,2024,Lincolnwood,197.0
All,ghg-school,Building Carbon Emissions,2024,Nichols,317.0
All,ghg-school,Building Carbon Emissions,2024,Oakton,266.0
All,ghg-school,Building Carbon Emissions,2024,Orrington,165.0
All,ghg-school,Building Carbon Emissions,2024,Park,138.0
All,ghg-school,Building Carbon Emissions,2024,Rhodes,192.0
All,ghg-school,Building Carbon Emissions,2024,Walker,201.0
All,ghg-school,Building Carbon Emissions,2024,Warehouse,238.0
All,ghg-school,Building Carbon Emissions,2024,Washington,371.0
All,ghg-school,Building Carbon Emissions,2024,Willard,257.0
All,ghg-school,Building Carbon Emissions,2025,Chute,471.0
All,ghg-school,Building Carbon Emissions,2025,Dawes,248.0
All,ghg-school,Building Carbon Emissions,2025,Dewey,285.0
All,ghg-school,Building Carbon Emissions,2025,Haven,432.0
All,ghg-school,Building Carbon Emissions,2025,JEH,638.0
All,ghg-school,Building Carbon Emissions,2025,King Arts,486.0
All,ghg-school,Building Carbon Emissions,2025,Kingsley,246.0
All,ghg-school,Building Carbon Emissions,2025,Lincoln,286.0
All,ghg-school,Building Carbon Emissions,2025,Lincolnwood,218.0
All,ghg-school,Building Carbon Emissions,2025,Nichols,340.0
All,ghg-school,Building Carbon Emissions,2025,Oakton,302.0
