account,utility_cost_2025,enrollment,capacity_used,empty_seats,cost_per_student,empty_share_pct,cost_of_empty_seats,cost_per_seat
Nichols (MS),82749.0,582.0,705.0,123.0,142.0,17.0,14400.0,117.0
Walker,47940.0,317.0,432.0,115.0,151.0,27.0,12800.0,111.0
Lincolnwood,50293.0,331.0,432.0,101.0,152.0,23.0,11800.0,116.0
Haven (MS),95502.0,604.0,936.0,332.0,158.0,35.0,33900.0,102.0
Chute (MS),102362.0,591.0,792.0,201.0,173.0,25.0,26000.0,129.0
Orrington,44617.0,251.0,432.0,181.0,178.0,42.0,18700.0,103.0
Oakton,66319.0,367.0,467.0,100.0,181.0,21.0,14200.0,142.0
Dawes,57663.0,288.0,432.0,144.0,200.0,33.0,19200.0,133.0
Dewey,69640.0,315.0,537.0,222.0,221.0,41.0,28800.0,130.0
King Arts,100753.0,445.0,651.0,206.0,226.0,32.0,31900.0,155.0
Lincoln,79065.0,350.0,576.0,226.0,226.0,39.0,31000.0,137.0
Willard,62350.0,273.0,533.0,260.0,228.0,49.0,30400.0,117.0
Washington,89559.0,387.0,530.0,143.0,231.0,27.0,24200.0,169.0
