school,enroll_sy25,area_counts,cap_total,cap_neighb,cap_twi,cap_acc,enroll_total,enroll_neighb,enroll_twe,enroll_tws,enroll_twx,enroll_acc,util_total_pct
Dawes Elementary School,294,354,432,288,144,0,337,186,60,61,30,0,78
Dewey Elementary School,316,442,576,432,144,0,372,260,48,39,25,0,65
Kingsley Elementary School,326,0,0,0,0,0,0,0,0,0,0,0,
Lincoln Elementary School,334,476,576,576,0,0,328,328,0,0,0,0,57
Lincolnwood Elementary School,283,297,432,432,0,0,280,280,0,0,0,0,65
Oakton Elementary School,361,466,576,288,144,144,403,243,43,33,11,73,70
Orrington Elementary School,218,259,432,432,0,0,226,226,0,0,0,0,52
Walker Elementary School,345,426,432,432,0,0,304,304,0,0,0,0,70
Washington Elementary School,403,447,530,242,288,0,441,230,94,82,35,0,83
Willard Elementary School,345,303,576,576,0,0,261,261,0,0,0,0,45
Dr. Bessie Rhodes School of Global Studies,251,0,0,0,0,0,0,0,0,0,0,0,
Foster School,0,502,576,288,288,0,452,255,58,104,35,0,78
Dr. Martin Luther King Jr. Literary & Fine Arts School,415,0,651,651,0,0,415,415,0,0,0,0,64
Chute Middle School,567,638,792,792,0,0,551,551,0,0,0,0,70
Haven Middle School,642,704,936,910,26,0,664,652,1,9,2,0,71
Nichols Middle School,609,710,705,679,26,0,656,648,2,4,2,0,93
Park School,57,0,109,109,0,0,57,57,0,0,0,0,52
Family Center,34,0,60,60,0,0,34,34,0,0,0,0,57
Rice Children's Center,19,0,0,0,0,0,19,19,0,0,0,0,
Joseph E. Hill Education Center,242,0,404,404,0,0,242,242,0,0,0,0,60
Not in D65,0,37,0,0,0,0,19,15,0,4,0,0,
