school,cap_total_baseline,capacity_cordogan,enroll_total,util_total_pct_predicted,capacity_used,capacity_source,dashboard_sy27,util_pct_current,util_change_pts
Dawes Elementary School,432.0,501.0,337.0,78.0,432.0,Cap Total,288.0,67.0,-11.0
Dewey Elementary School,576.0,537.0,372.0,65.0,537.0,Cordogan,315.0,59.0,-6.0
Kingsley Elementary School,432.0,435.0,167.0,39.0,432.0,Cap Total,,,
Lincoln Elementary School,576.0,642.0,328.0,57.0,576.0,Cap Total,350.0,61.0,4.0
Lincolnwood Elementary School,432.0,508.0,181.0,42.0,432.0,Cap Total,331.0,77.0,35.0
Oakton Elementary School,576.0,467.0,403.0,70.0,467.0,Cordogan,367.0,79.0,9.0
Orrington Elementary School,432.0,464.0,226.0,52.0,432.0,Cap Total,251.0,58.0,6.0
Walker Elementary School,432.0,467.0,304.0,70.0,432.0,Cap Total,317.0,73.0,3.0
Washington Elementary School,530.0,626.0,441.0,83.0,530.0,Cap Total,387.0,73.0,-10.0
Willard Elementary School,576.0,533.0,193.0,34.0,533.0,Cordogan,273.0,51.0,17.0
Foster School,576.0,600.0,452.0,78.0,576.0,Cap Total,361.0,63.0,-15.0
Dr Martin Luther King Jr Literary & Fine Arts School,651.0,653.0,415.0,64.0,651.0,Cap Total,445.0,68.0,4.0
Chute Middle School,792.0,792.0,551.0,70.0,792.0,Cap Total (1A table),591.0,75.0,5.0
Haven Middle School,936.0,937.0,664.0,71.0,936.0,Cap Total (1A table),604.0,65.0,-6.0
Nichols Middle School,705.0,705.0,656.0,93.0,705.0,Cap Total (1A table),582.0,83.0,-10.0
